epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,8801.27,0.93616,0.56779,1.20576,0.92307,0.92962,0.95652,0.72354,0.90521,0.46181,1.19791,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,8926.83,0.93062,0.55685,1.19715,0.909,0.93759,0.95383,0.71725,0.91912,0.47242,1.21237,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,9051.37,0.92653,0.55184,1.19817,0.90606,0.9208,0.9444,0.71288,0.91184,0.47687,1.2144,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,9174.76,0.92266,0.55108,1.19541,0.91714,0.92418,0.95275,0.72325,0.89386,0.45887,1.19385,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,9298.81,0.92152,0.55076,1.19945,0.93461,0.9204,0.9575,0.72099,0.89582,0.45386,1.20287,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,9425.97,0.92196,0.54337,1.19899,0.92945,0.9043,0.95329,0.70991,0.90435,0.4655,1.22016,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,9549.31,0.91141,0.54466,1.19184,0.9251,0.9335,0.9524,0.71864,0.91279,0.46888,1.21991,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,9672.92,0.90755,0.53538,1.18213,0.92489,0.92833,0.95859,0.72091,0.89417,0.45146,1.20129,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,9797.76,0.90679,0.53751,1.18632,0.92506,0.92671,0.95575,0.72644,0.88048,0.44593,1.19061,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,9923.52,0.89207,0.52225,1.17084,0.92464,0.93281,0.95651,0.71954,0.91353,0.4447,1.22279,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,10049.3,0.90552,0.5332,1.18321,0.93812,0.92616,0.95452,0.72332,0.90581,0.4398,1.21036,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,10170.7,0.8838,0.52509,1.17255,0.94206,0.92776,0.95763,0.72727,0.88742,0.4461,1.21385,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,10297,0.88681,0.52641,1.17071,0.9455,0.91991,0.95878,0.72816,0.88872,0.45645,1.20067,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,10419.1,0.88281,0.52285,1.16317,0.94616,0.92146,0.95618,0.72935,0.88682,0.43508,1.21732,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,10541.2,0.87597,0.51552,1.16026,0.93063,0.94024,0.95369,0.71877,0.90118,0.44382,1.22607,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,10660.9,0.87456,0.51707,1.16398,0.93305,0.91881,0.95247,0.71627,0.90982,0.44012,1.23279,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,10781.9,0.85877,0.50884,1.14926,0.92933,0.9322,0.94833,0.72253,0.89625,0.43555,1.21784,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,10902.6,0.86626,0.50978,1.15332,0.94356,0.92326,0.9564,0.72432,0.87921,0.43941,1.20137,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,11023.5,0.86228,0.50871,1.14732,0.92746,0.92981,0.95559,0.72643,0.87493,0.43629,1.1939,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,11148.1,0.86141,0.50488,1.15267,0.93333,0.93023,0.95448,0.72488,0.88286,0.4277,1.20699,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,11268.8,0.84705,0.50148,1.14275,0.92755,0.93718,0.95746,0.73666,0.86335,0.42964,1.19515,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
91,11391.1,0.84669,0.49639,1.14638,0.93822,0.93005,0.95795,0.73066,0.88169,0.42148,1.21985,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,11511.7,0.84149,0.49506,1.1378,0.92518,0.93481,0.95685,0.72884,0.88199,0.43847,1.20141,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,11632.5,0.84352,0.49385,1.13805,0.93723,0.92973,0.9563,0.7328,0.88146,0.42611,1.2028,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
94,11753.3,0.8411,0.49557,1.13544,0.95219,0.91861,0.95999,0.73278,0.87444,0.42341,1.2186,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318
95,11874.9,0.83167,0.4848,1.13042,0.94594,0.93414,0.95705,0.72919,0.87852,0.42441,1.21822,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
96,11996.3,0.83281,0.48965,1.13057,0.94249,0.93541,0.95884,0.7264,0.88099,0.42881,1.21024,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
97,12118.3,0.82703,0.48478,1.12623,0.93465,0.93433,0.9567,0.72918,0.8801,0.42724,1.21416,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
98,12240.6,0.82199,0.48029,1.12271,0.94226,0.92725,0.95938,0.72711,0.88323,0.42486,1.22237,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318
